ping_ms,download_mbps,upload_mbps,organization,server_ip,sponsor,city,browser,iteration,time,platform,Location,Scenario,subnet_15,client_ip_operator
17.0,502.42,23.29,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,524.88,23.02,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,467.82,22.51,iCloud Private Relay,172.226.77.40,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,50.08,10.7,iCloud Private Relay,172.226.76.182,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,163.91,22.9,iCloud Private Relay,172.226.77.37,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,142.97,22.67,iCloud Private Relay,172.226.77.33,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,474.99,22.32,iCloud Private Relay,104.28.72.32,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
16.0,469.3,22.95,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,490.38,23.24,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,159.76,22.65,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,489.03,21.82,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
20.0,169.07,22.57,iCloud Private Relay,172.226.77.36,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
21.0,201.94,22.73,iCloud Private Relay,172.226.77.36,HIDOD,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,489.88,23.07,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,159.03,22.86,iCloud Private Relay,172.226.77.40,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,430.7,22.87,iCloud Private Relay,172.226.77.33,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
20.0,451.2,23.21,Spectrum,76.83.153.13,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,359.79,22.42,iCloud Private Relay,104.28.72.32,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
17.0,136.09,22.61,iCloud Private Relay,172.226.77.41,HIDOD,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,466.79,22.78,iCloud Private Relay,172.226.77.38,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,161.47,22.73,iCloud Private Relay,172.226.77.37,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,455.91,22.98,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,421.52,22.74,iCloud Private Relay,172.226.77.33,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,138.45,22.83,iCloud Private Relay,172.226.77.33,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,160.31,22.9,iCloud Private Relay,172.226.77.36,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,445.29,22.52,iCloud Private Relay,104.28.72.32,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
19.0,485.63,23.06,Spectrum,76.83.153.13,Hawaiian Telcom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,168.06,22.87,iCloud Private Relay,172.226.77.34,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,42.84,11.38,iCloud Private Relay,172.226.76.182,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,458.87,22.78,iCloud Private Relay,172.226.77.38,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,158.59,22.26,iCloud Private Relay,172.226.77.40,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,488.25,23.21,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,158.26,22.8,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,533.79,22.84,iCloud Private Relay,172.226.77.40,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,134.42,22.69,iCloud Private Relay,172.226.77.33,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,508.84,23.16,Spectrum,76.83.153.13,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,467.25,23.32,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,478.41,23.25,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
21.0,488.24,23.07,Spectrum,76.83.153.13,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
20.0,202.62,22.25,iCloud Private Relay,172.226.77.36,HIDOD,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,523.04,23.16,Spectrum,76.83.153.13,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,444.13,22.65,iCloud Private Relay,172.226.77.38,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,507.7,23.15,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,35.05,13.0,iCloud Private Relay,172.226.76.182,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,490.28,23.28,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
27.0,37.55,10.01,iCloud Private Relay,172.226.76.182,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,424.37,22.41,iCloud Private Relay,172.226.77.38,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,203.47,22.67,iCloud Private Relay,172.226.77.36,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,544.36,23.29,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,475.22,23.27,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,424.39,22.65,iCloud Private Relay,172.226.77.33,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,511.24,23.36,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,469.23,23.38,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,494.9,23.38,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,520.56,22.69,iCloud Private Relay,172.226.77.40,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,150.13,22.66,iCloud Private Relay,172.226.77.33,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,516.47,23.19,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,204.88,22.18,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
22.0,31.08,9.33,iCloud Private Relay,172.226.76.182,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,476.44,23.0,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,134.47,22.94,iCloud Private Relay,172.226.77.40,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,186.73,22.46,iCloud Private Relay,172.226.77.40,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,506.42,23.32,Spectrum,76.83.153.13,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,171.67,22.91,iCloud Private Relay,172.226.77.34,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,167.42,22.71,iCloud Private Relay,172.226.77.36,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,462.43,21.03,iCloud Private Relay,104.28.72.33,Pacific Wave,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
20.0,499.54,22.66,Spectrum,76.83.153.13,Hawaiian Telcom,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,451.91,22.69,iCloud Private Relay,172.226.77.33,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,168.52,22.66,iCloud Private Relay,172.226.77.37,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,497.69,23.32,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,449.43,23.23,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,429.75,22.13,iCloud Private Relay,104.28.72.32,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
16.0,154.97,22.77,iCloud Private Relay,172.226.77.41,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
20.0,496.54,23.15,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
